T,o,h,l,c,v
1609667100000.0,34065.8,34247.9,34021.6,34190.6,956.5459999999999
1609668000000.0,34190.0,34350.0,33973.4,34050.2,1220.6809
1609668900000.0,34050.2,34115.3,33403.0,33739.4,2911.7487
1609669800000.0,33739.4,33970.0,33520.7,33930.5,1131.6796
1609670700000.0,33930.4,34119.0,33794.8,33878.0,1071.1152
1609671600000.0,33878.0,34200.0,33787.6,34095.5,1088.491
1609672500000.0,34095.5,34162.3984375,33910.0,33933.30078125,899.4733276367188
1609673400000.0,33933.3,34145.0,33928.8,34115.8,694.5528
1609674300000.0,34115.8,34450.0,34111.6,34413.5,1434.3355999999999
1609675200000.0,34413.5,34600.0,34206.1,34495.9,1754.8796
1609676100000.0,34496.0,34523.0,34214.30078125,34291.80078125,794.0985107421875
1609677000000.0,34293.5,34354.5,33928.8,34124.7,1330.5565
1609677900000.0,34124.69921875,34228.0,34000.0,34103.69921875,666.7487182617188
1609678800000.0,34103.7,34385.0,34100.7,34339.8,697.8774
1609679700000.0,34339.80078125,34370.0,34140.0,34162.1015625,686.752197265625
1609680600000.0,34164.1,34193.7,33810.0,34050.0,1515.3663000000001
1609681500000.0,34050.0,34150.0,33800.0,33880.0,1473.7431
1609682400000.0,33878.0,34100.0,33641.0,34048.4,1467.8097
1609683300000.0,34048.3,34150.0,33927.0,33927.0,1083.1122
1609684200000.0,33927.0,34078.5,33800.0,33880.0,1199.9863
1609685100000.0,33880.0,33880.0,33450.0,33811.5,2177.897
1609686000000.0,33811.5,33873.3984375,33200.0,33355.1015625,2362.384765625
1609686900000.0,33355.1015625,33570.0,32910.80078125,33015.19921875,2321.711669921875
1609687800000.0,33015.2,33455.0,32727.0,33380.2,2413.9519
1609688700000.0,33379.0,33645.0,33350.0,33506.6,1293.2008
1609689600000.0,33505.2,33822.7,33501.0,33629.4,1867.8842
1609690500000.0,33629.3984375,33700.0,33380.0,33422.6015625,1474.058349609375
1609691400000.0,33422.6,33532.2,33214.3,33240.6,1487.2001
1609692300000.0,33239.30078125,33276.0,32650.0,32676.69921875,3154.5966796875
1609693200000.0,32676.8,33046.6,32454.7,32595.4,3119.2839
1609694100000.0,32595.4,33190.0,32477.3,33080.1,2138.4804
1609695000000.0,33080.1015625,33180.0,32818.19921875,33019.69921875,1070.6832275390625
1609695900000.0,33019.7,33333.3,32845.5,32909.3,1119.3624
1609696800000.0,32907.5,33031.6,32718.1,32983.0,903.672
1609697700000.0,32983.0,32984.1015625,32500.0,32521.80078125,1190.7283935546875
1609698600000.0,32531.5,32750.0,32267.0,32601.80078125,1863.5198974609375
1609699500000.0,32605.4,32834.3,32587.6,32769.8,749.2796
1609700400000.0,32769.80078125,32930.0,32654.30078125,32850.0,643.8123779296875
1609701300000.0,32850.0,32924.3,32540.0,32626.5,643.1527
1609702200000.0,32626.7,32732.5,32469.8,32494.7,482.7528
1609703100000.0,32494.7,32800.5,32455.7,32772.2,518.7212
1609704000000.0,32775.1,33342.4,32727.1,33312.6,1431.3104
1609704900000.0,33312.6015625,33736.30078125,33270.19921875,33697.1015625,1916.2945556640625
1609705800000.0,33697.1,33816.0,33507.3,33587.3,1128.8822
1609706700000.0,33589.3,33800.0,33443.4,33726.2,944.1929
1609707600000.0,33725.7,33861.9,33591.0,33673.2,758.3152
1609708500000.0,33673.19921875,33735.80078125,33550.0,33729.1015625,414.2121887207031
1609709400000.0,33729.1,33765.8,33550.0,33742.0,499.0648
1609710300000.0,33742.0,33745.30078125,33506.0,33558.30078125,451.47589111328125
1609711200000.0,33559.1,33559.1,33210.4,33277.3,611.0878
1609712100000.0,33277.3,33661.1,33274.1,33500.8,488.3216
1609713000000.0,33503.6015625,33605.1015625,33085.0,33259.80078125,915.3892822265625
1609713900000.0,33259.80078125,33326.69921875,33000.0,33119.1015625,826.2344970703125
1609714800000.0,33119.1015625,33389.6015625,32881.6015625,33389.19921875,1229.2777099609375
1609715700000.0,33389.2,33600.0,33230.0,33494.9,1057.8811
1609716600000.0,33494.9,33579.5,33290.0,33290.0,1052.2876
1609717500000.0,33290.0,33300.0,32600.0,33000.1,1738.1145000000001
1609718400000.0,33000.1,33086.2,32657.5,32755.5,1429.137
1609719300000.0,32755.5,33111.3984375,32752.5,32789.3984375,932.914306640625
1609720200000.0,32789.4,32815.0,32400.3,32627.6,1651.6019000000001
1609721100000.0,32627.69921875,32878.5,32627.400390625,32843.8984375,778.5538940429688
1609722000000.0,32843.8984375,32954.30078125,32734.599609375,32768.0,709.9694213867188
1609722900000.0,32765.5,32858.1,32620.0,32696.5,664.1014
1609723800000.0,32696.5,33173.8984375,32602.5,33099.8984375,1110.108642578125
1609724700000.0,33099.9,33327.0,33099.0,33191.0,905.845
1609725600000.0,33191.1015625,33318.5,33057.30078125,33196.3984375,815.2335205078125
1609726500000.0,33196.5,33222.4,33012.0,33066.9,501.3622
1609727400000.0,33066.9,33161.8,32958.4,33149.9,482.02099999999996
1609728300000.0,33149.8984375,33588.0,33143.80078125,33454.19921875,1381.7342529296875
1609729200000.0,33454.2,33500.0,33361.8,33397.0,714.1678
1609730100000.0,33397.0,33471.9,33300.0,33302.3,872.9766
1609731000000.0,33305.7,33334.4,33252.1,33254.4,714.3508
1609731900000.0,33254.4,33510.7,33160.0,33505.2,872.7139
1609732800000.0,33505.2,33600.0,33380.0,33452.1,1118.1228
1609733700000.0,33452.1015625,33482.6015625,33256.0,33304.6015625,705.4511108398438
1609734600000.0,33305.1,33369.8,33186.1,33252.8,682.8827
1609735500000.0,33252.8,33368.0,33187.1,33257.6,660.5729
1609736400000.0,33257.6015625,33299.5,33044.0,33182.8984375,964.7119750976562
1609737300000.0,33179.7,33315.9,33170.2,33230.9,929.0977
1609738200000.0,33230.9,33298.0,32958.5,33038.4,1057.0165
1609739100000.0,33038.4,33097.8,32802.3,32813.0,1039.8732
1609740000000.0,32813.0,33095.2,32813.0,33028.4,887.2206
1609740900000.0,33028.4,33408.0,33000.0,33234.4,1372.2613999999999
1609741800000.0,33232.8,33250.0,32900.0,32931.6,1220.4233
1609742700000.0,32931.6,33148.4,32834.1,33100.0,1288.8606
1609743600000.0,33100.0,33148.7,32750.0,32801.1,1591.7039
1609744500000.0,32797.5,32877.69921875,31505.0,32341.19921875,4864.32666015625
1609745400000.0,32341.2,32500.0,31937.5,31987.3,1626.2078999999999
