T,o,h,l,c,v
1610254800000,40342.5,40665.19921875,40260.0,40451.80078125,2044.479248046875
1610258400000,40451.7,41073.3,40350.0,40904.5,2194.91336
1610262000000,40904.5,41066.6,40660.9,40978.6,2143.4624
1610265600000,40978.6,41033.0,40555.0,40798.3,2415.9318
1610269200000,40798.3,41060.0,40732.0,40768.5,2642.9586
1610272800000,40768.3,40850.0,40000.0,40429.2,5145.0882
1610276400000,40429.2,40429.6,38888.0,39181.8,8619.3103
1610280000000,39175.1015625,39777.80078125,38450.0,39538.6015625,6929.93603515625
1610283600000,39538.6,40126.0,39426.6,39800.9,3799.3171
1610287200000,39800.9,39847.3,39247.5,39431.6,3199.9141
1610290800000,39431.6015625,39934.80078125,39062.8984375,39671.80078125,3219.501708984375
1610294400000,39671.8,39757.6,39186.2,39234.3,2904.1141
1610298000000,39232.8,39388.2,37200.0,38571.9,12879.6245
1610301600000,38571.8984375,38778.0,37675.30078125,38109.69921875,6090.67431640625
1610305200000,38106.1015625,38536.69921875,37111.0,37456.80078125,4232.50341796875
1610308800000,37472.4,37793.5,35111.1,37718.9,18938.3293
1610312400000,37727.30078125,38288.19921875,37525.19921875,38055.30078125,7661.05859375
1610316000000,38052.6015625,39000.0,37852.1015625,38428.19921875,4739.66796875
1610319600000,38429.8,38692.8,37935.9,38150.0,3794.3235
1610323200000,38150.0,38264.69921875,36501.0,37192.1015625,7568.89208984375
1610326800000,37192.1,37824.0,36700.1,37237.7,4215.9982
1610330400000,37237.7,37411.0,36123.4,36363.9,6796.5725
1610334000000,36363.9,36698.0,33600.0,35438.2,18753.3593
1610337600000,35438.2,35999.9,34300.0,35544.0,9555.2423
1610341200000,35542.9,35924.2,34500.2,34904.7,7098.5004
1610344800000,34904.7,34904.7,32550.0,32872.6,15763.1481
1610348400000,32843.3,34740.0,32538.0,34375.3,12674.1719
1610352000000,34372.3,35919.9,34249.0,35430.0,6432.3633
1610355600000,35430.0,35788.1,34800.0,35766.0,5625.5334
1610359200000,35766.0,36360.0,35238.0,35367.6015625,6245.55859375
1610362800000,35368.8,35471.0,34020.0,34198.6,7167.2659
1610366400000,34198.6,35110.0,33308.0,34275.6,9904.2963
1610370000000,34273.5,34450.0,32700.0,32813.69921875,12794.3486328125
1610373600000,32808.9,33770.1,31115.0,33299.1,23220.7782
1610377200000,33291.6015625,33679.69921875,31415.900390625,31580.0,11202.3203125
1610380800000,31582.8,32250.0,30420.0,31777.2,20017.085
1610384400000,31771.8,33585.2,30701.8,32839.9,16685.0813
1610388000000,32849.0,33300.0,32432.3,32562.1,7184.9111
1610391600000,32562.1,32737.4,31215.0,32254.6,7289.1844
1610395200000,32254.6,33465.5,31408.1,33409.8,8540.9114
1610398800000,33410.8,34466.0,33076.1,33968.1,9804.0106
1610402400000,33962.2,34892.7,33650.0,34359.1,5403.7032
1610406000000,34361.2,35638.6,34361.2,35404.5,9188.2995
1610409600000,35410.4,35547.2,34287.3,34930.0,6612.0383
1610413200000,34930.0,35457.0,33880.0,34289.3,5087.4412
1610416800000,34289.3,34623.9,33677.0,34400.0,4906.328
1610420400000,34400.0,34998.9,34182.2,34985.0,3550.2551
1610424000000,34984.8984375,35326.3984375,34520.69921875,35287.69921875,4020.85595703125
1610427600000,35284.1,35889.0,34971.2,35882.7,5053.2754
1610431200000,35882.7,36348.0,35720.4,35993.9,6584.659
1610434800000,35998.6,36628.0,35617.7,36413.6,6162.1324
1610438400000,36413.6,36500.0,35587.9,35773.2,5138.3382
1610442000000,35773.2,36150.7,35370.2,35925.8,3783.316
1610445600000,35925.8,36150.7,34757.0,35085.8,6437.9241
1610449200000,35085.8,35841.0,35084.9,35411.0,4770.003
1610452800000,35411.0,35688.8,34850.0,35014.8,4399.5106
1610456400000,35013.0,35399.7,33250.0,33291.1,10038.2266
1610460000000,33286.0,34064.3,32531.0,33426.5,11811.3582
1610463600000,33416.5,34285.69921875,33406.8984375,33829.3984375,6681.45361328125
1610467200000,33829.4,35000.0,33819.1,34998.9,5939.7849
1610470800000,34998.9,35289.7,34560.0,35012.5,5686.971
1610474400000,35012.5,35550.0,34810.0,35040.8,4048.6133
1610478000000,35040.8,35040.8,34178.9,34685.1,3815.6803999999997
1610481600000,34686.1,34702.2,33730.0,34287.9,5034.979
1610485200000,34287.9,34877.3,33801.0,34719.0,4053.7025
1610488800000,34721.7,35051.0,33297.8,33743.2,3949.3734
1610492400000,33751.7,34138.8,33260.7,34051.2,6381.9323
1610496000000,34049.2,34049.2,32380.0,32526.5,9275.2797
1610499600000,32526.9,33450.0,32487.1,33124.1,6231.7147
1610503200000,33125.3,33551.6,32566.5,33035.2,5457.2738
1610506800000,33035.2,34375.5,32981.9,33818.5,6460.7108
1610510400000,33818.5,33910.0,33090.9,33183.9,3956.3017
1610514000000,33183.9,33522.0,32800.0,33321.8,3402.317
1610517600000,33321.8,34212.9,33212.1,33780.7,4919.3234
1610521200000,33780.7,35180.7,33550.0,34986.9,6468.3676
1610524800000,34986.8984375,35063.6015625,34438.8984375,34519.19921875,5729.47900390625
1610528400000,34517.4,35107.5,34200.0,34343.6,4738.5417
1610532000000,34343.6015625,35066.6015625,34343.6015625,34923.0,4760.8525390625
1610535600000,34923.0,35250.0,34242.2,34385.5,5982.9208
1610539200000,34385.5,34512.0,34017.0,34266.5,3585.0684
1610542800000,34266.5,34787.2,34070.0,34575.5,3664.9087
1610546400000,34575.5,35100.0,34216.0,34260.7,5193.5221
1610550000000,34260.7,34850.0,34200.0,34673.9,3658.8481
1610553600000,34673.9,34930.0,34388.5,34783.1,2872.01113
1610557200000,34785.0,35000.0,34652.1,34821.5,2913.4139
1610560800000,34821.5,35901.0,34720.0,35719.3984375,6649.5556640625
1610564400000,35719.4,36188.0,35577.6,36002.3,5312.2176
1610568000000,36002.2,36450.0,35704.2,36222.1,5750.0122
1610571600000,36222.1,37427.0,36110.8,37299.5,7450.1053
1610575200000,37291.3,37850.0,36827.0,37203.9,6042.032
1610578800000,37204.1,37584.7,37000.0,37371.4,4003.1276
1610582400000,37371.4,38172.2,37362.5,37762.8,5781.2722
1610586000000,37766.0,37786.6015625,37363.0,37451.1015625,3460.0380859375
1610589600000,37451.1,37729.6,37071.0,37439.5,4089.9485
1610593200000,37440.9,37505.0,37000.0,37045.1,2807.2133
1610596800000,37045.1,37513.6,36701.2,37504.0,3609.7406
1610600400000,37504.0,37800.0,37299.7,37529.1,3154.2262
1610604000000,37529.1,38100.0,37440.0,37837.2,3705.5883
1610607600000,37837.2,38596.9,37703.1,38198.3,5294.8029
1610611200000,38199.5,38786.1,38192.6,38370.0,3936.8111
1610614800000,38370.0,38464.1015625,37862.0,37938.1015625,3551.705810546875
1610618400000,37938.1015625,38490.5,37869.1015625,38487.3984375,3151.65869140625
1610622000000,38488.1,38622.6,38060.0,38365.9,3014.522
1610625600000,38365.9,38427.1,37707.0,38258.0,3638.0815
1610629200000,38258.0,39000.0,38154.2,38977.7,5153.8423999999995
1610632800000,38978.0,39762.7,38788.2,39577.5,9975.2831
1610636400000,39577.5,40100.0,39294.7,39546.0,7213.0934
1610640000000,39546.0,40000.0,39212.19921875,39286.3984375,5390.892578125
1610643600000,39286.4,39880.0,39286.4,39429.8,3239.6891
1610647200000,39429.3,39620.0,39258.1,39344.8,3097.2064
1610650800000,39344.8,39919.1,39329.9,39877.0,3010.8556
1610654400000,39877.0,39935.1,39312.8,39312.9,2418.31268
1610658000000,39321.6015625,39585.0,38259.30078125,38780.5,7841.12841796875
1610661600000,38782.4,39135.2,38276.0,38988.6,3319.714
1610665200000,38988.6,39330.9,38733.1,39144.5,3094.7549
1610668800000,39145.2,39747.8,39023.2,39452.9,3774.3312
1610672400000,39452.9,39640.0,39012.1,39175.7,2907.1022
1610676000000,39175.69921875,39479.69921875,38800.0,39267.80078125,2742.7978515625
1610679600000,39267.8,39349.6,38450.0,38700.0,3549.5062
1610683200000,38700.0,38853.1,38355.0,38425.8,2792.0434999999998
1610686800000,38425.8,38850.0,37808.0,37808.9,3634.0974
1610690400000,37808.9,38098.0,37554.9,38043.3,4123.4941
1610694000000,38044.9,38483.8,37704.8,38473.1,3768.1762
1610697600000,38473.1,38700.0,38153.2,38280.2,3113.9733
1610701200000,38280.2,38718.0,38016.2,38679.4,3356.4999
1610704800000,38677.2,38780.0,38314.2,38441.9,2224.4316
1610708400000,38441.8984375,38573.80078125,37923.0,38108.8984375,3028.510498046875
1610712000000,38108.9,38194.0,37200.0,37770.6,6046.1102
1610715600000,37770.6,37888.9,37251.1,37683.9,4557.685
1610719200000,37683.8984375,37786.69921875,36641.0,36939.5,6587.7509765625
1610722800000,36940.1,36999.0,35258.0,35610.7,11637.8795
1610726400000,35610.8,36400.0,34408.0,36151.1,16406.9042
1610730000000,36149.5,36154.8,35350.0,35947.3,7410.885
1610733600000,35947.3,36433.5,34812.2,35421.6,7136.053
1610737200000,35421.6,35928.7,35080.1,35217.3,4051.59
1610740800000,35218.9,35746.2,34801.2,35605.7,5526.4168
1610744400000,35605.7,36431.8,35554.1,36234.1,4285.7091
1610748000000,36233.8,36888.0,35950.6,36600.0,3398.8546699999997
1610751600000,36600.0,36888.0,36401.2,36742.2,2240.11074
1610755200000,36737.4,37428.1,36724.2,37159.5,4169.1462
1610758800000,37159.5,37669.0,36902.4,37005.9,4102.2591
1610762400000,37003.8,37227.2,36000.0,36224.5,4298.8646
1610766000000,36224.5,36738.4,35852.9,36532.9,3426.0002
1610769600000,36532.9,36700.0,36127.2,36574.5,2089.282
1610773200000,36575.4,36646.4,35520.0,35854.4,4007.3896
1610776800000,35854.4,36377.5,35823.8,36112.4,3043.3178
1610780400000,36110.6,36959.6,36076.5,36574.9,3648.9882
1610784000000,36565.7,37500.0,36375.9,37464.3,4175.6171
1610787600000,37462.6,37666.7,37200.0,37448.8,3311.7389
1610791200000,37448.8,37950.0,37300.0,37410.7,4139.9788
1610794800000,37410.7,37838.2,37179.4,37680.0,2918.8007
1610798400000,37680.0,37886.0,36712.0,37357.19921875,4677.642578125
1610802000000,37357.2,37682.0,37058.8,37143.5,3239.4011
1610805600000,37148.19921875,37356.30078125,36671.19921875,37232.19921875,3525.25537109375
1610809200000,37232.2,37680.0,36983.1,37462.0,3462.8026
1610812800000,37463.5,37713.8984375,36921.0,37231.3984375,3881.929443359375
1610816400000,37231.4,37300.0,36800.0,36861.0,2512.1002
1610820000000,36859.2,37165.9,36400.0,36484.9,2411.2790999999997
1610823600000,36484.9,36621.3,36200.0,36376.4,3971.8751
1610827200000,36376.3984375,36800.0,36235.6015625,36711.19921875,3324.728515625
1610830800000,36713.80078125,36717.0,35684.80078125,35924.3984375,5744.88427734375
1610834400000,35910.1,36194.5,35357.8,36121.1,3505.7664
1610838000000,36127.19921875,36480.0,35900.0,35995.0,2759.381103515625
1610841600000,35995.0,36472.7,35520.0,36396.4,3726.4441
1610845200000,36396.4,36727.3,36176.7,36715.6,2847.9483
1610848800000,36715.6,36744.1,36235.0,36419.7,1927.69519
1610852400000,36419.7,36541.9,35978.0,36177.0,2021.3319
1610856000000,36177.0,36382.3984375,35822.6015625,35847.5,2093.288818359375
1610859600000,35848.3,36009.4,35475.1,35547.1,2900.4079
1610863200000,35547.1,35733.2,35035.0,35390.8,4077.7061
1610866800000,35390.8,35530.0,34518.0,34760.9,5014.0835
1610870400000,34760.9,34834.4,34300.0,34732.8,5641.0506
1610874000000,34732.1,35188.0,34000.0,34176.8,5570.2303
1610877600000,34176.8,35147.8,33850.0,34818.0,5718.0289
1610881200000,34816.3,35400.0,34727.8,35267.2,3861.6599
1610884800000,35270.0,35545.3,34695.5,35124.7,3962.0022
1610888400000,35124.1,35500.0,34786.8,34841.8,2919.1009
1610892000000,34841.8,35243.6,34666.0,34750.0,2849.0015
1610895600000,34750.0,35973.9,34750.0,35728.5,4341.2348
1610899200000,35728.5,36166.5,35589.30078125,35910.1015625,3578.890869140625
1610902800000,35915.0,36123.1015625,35603.0,35837.19921875,2191.92333984375
1610906400000,35837.2,35920.6,35625.4,35678.7,1484.5568700000001
1610910000000,35676.6,36000.0,35515.0,35633.9,2043.0372
1610913600000,35633.9,36099.0,35559.8,36073.0,1917.7223000000001
1610917200000,36073.9,36852.5,36073.9,36543.0,3878.4028
1610920800000,36543.0,36700.0,36000.4,36181.2,2247.4534
1610924400000,36181.2,36417.5,35506.0,35828.6,3344.5254
1610928000000,35825.0,36016.7,35551.8,35964.2,3323.9004
1610931600000,35964.2,36180.0,35605.2,36125.4,2560.9558
1610935200000,36125.3984375,36208.0,35682.0,35764.69921875,2306.028564453125
1610938800000,35764.6015625,35847.19921875,34843.0,35106.30078125,4674.3173828125
1610942400000,35108.3,35313.9,34908.8,35132.1,1922.6244
1610946000000,35132.1,35477.1,34800.0,35344.5,2494.0626
